Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFN,MPN,PurchasingLink,Purchasing Link,Digi-Key Part Number
22,b'',b'USB_MicroB',b'U5',b'USB_MicroB',b'USB_Micro-B_Molex-105017-0001',b'1',b'https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf',b'DK',b'WM1399CT-ND',b'https://www.digikey.com/product-detail/en/molex-llc/1050170001/WM1399CT-ND/2350885',b'',b''
23,b'',b'Crystal_SMD',b'Y1',b'Crystal_SMD',b'Crystal_SMD_FA238',b'1',b'https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf',b'DK',b'SER3686CT-ND',b'https://www.digikey.com/products/en?keywords=SER3686CT-ND',b'',b''





Component Groups:,23
Component Count:,32
Fitted Components:,32
Number of PCBs:,1
Total components:,32
Schematic Version:,
Schematic Date:,
BoM Date:,b'Tue 02 Apr 2019 08:23:06 PM EDT'
Schematic Source:,b'/home/william/Desktop/pigeon/circuit/circuit.sch'
KiCad Version:,b'Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1'
